osm_id,full_addr,postal_code,municipality,department,country
2316394910,,,,,Nicaragua
2327799781,,,,,Nicaragua
2339941660,,,,,Nicaragua
2339946939,,,,,Nicaragua
2342008660,,,,,Nicaragua
2343816279,,,,,Nicaragua
2343833417,,,,,Nicaragua
2343878580,,,,,Nicaragua
2343880075,,,,,Nicaragua
2345162320,,,,,Nicaragua
2353796987,,,,,Nicaragua
2371342155,,,,,Nicaragua
2372566401,,,,,Nicaragua
2372652368,,,,,Nicaragua
2376234047,,,,,Nicaragua
2376684407,,,,,Nicaragua
2397753644,,,,,Nicaragua
2402989257,,,Managua,,Nicaragua
2410500397,,,,,Nicaragua
2423626522,,,,,Nicaragua
2428484847,,,,,Nicaragua
2430431082,,,,,Nicaragua
2435834827,,,,,Nicaragua
2435834828,,,,,Nicaragua
2436184776,,,,,Nicaragua
2448398139,,,,,Nicaragua
2448531372,,,,,Nicaragua
2448549399,,,Managua,,Nicaragua
2448608261,,,Leon,,Nicaragua
2448608264,,,Leon,,Nicaragua
2448608291,,,Leon,,Nicaragua
2448608294,,,Leon,,Nicaragua
2449659532,,,,,Nicaragua
2449663456,,,,,Nicaragua
2450470782,,,,,Nicaragua
2453319340,,,,,Nicaragua
2454991503,,,,,Nicaragua
2454991507,,,,,Nicaragua
2457016750,,,,,Nicaragua
2462431794,,,,,Nicaragua
2462431969,,,,,Nicaragua
2462432460,,,,,Nicaragua
2462598799,,,,,Nicaragua
2462598801,,,,,Nicaragua
2462598821,,,,,Nicaragua
2463260434,,,,,Nicaragua
2463606109,,,,,Nicaragua
2464901045,,,,,Nicaragua
2472921530,,,,,Nicaragua
2475286428,,,,,Nicaragua
2475304590,,,,,Nicaragua
2475711916,,,,,Nicaragua
2475711918,,,,,Nicaragua
2475998094,,,,,Nicaragua
2476097609,,,,,Nicaragua
2476105952,,,,,Nicaragua
2476925026,,,,,Nicaragua
2480668151,"Km 9,5 Carretera Masaya 500 Vrs al sur oeste, Managua",,,,Nicaragua
2480668154,,,,,Nicaragua
2480668184,,,,,Nicaragua
2488653192,,,,,Nicaragua
2490089128,,,,,Nicaragua
2490089353,,,,,Nicaragua
2490205782,,,,,Nicaragua
2490212410,,,,,Nicaragua
2490518707,,,,,Nicaragua
2490583571,,,,,Nicaragua
2490583574,,,,,Nicaragua
2490583590,,,,,Nicaragua
2490583593,,,,,Nicaragua
2490583625,,,,,Nicaragua
2490583627,,,,,Nicaragua
2490583671,,,,,Nicaragua
2490583675,,,,,Nicaragua
2490583699,,,,,Nicaragua
2490583739,,,,,Nicaragua
2490653132,,,,,Nicaragua
2491505138,,,,,Nicaragua
2491505142,,,,,Nicaragua
2491526383,,,,,Nicaragua
2496955983,,,,,Nicaragua
2496955990,,,,,Nicaragua
2496955997,,,,,Nicaragua
2496956004,,,,,Nicaragua
2496956008,,,,,Nicaragua
2498024960,,,,,Nicaragua
2498030319,,,,,Nicaragua
2498063333,,,,,Nicaragua
2498063340,,,,,Nicaragua
2498063346,,,,,Nicaragua
2498938343,,,,,Nicaragua
2498972182,,,,,Nicaragua
2498973387,,,,,Nicaragua
2500129757,,,,,Nicaragua
2500129758,,,,,Nicaragua
2500129770,,,,,Nicaragua
2500129772,,,,,Nicaragua
2500129775,,,,,Nicaragua
2500129787,,,,,Nicaragua
2500129790,,,,,Nicaragua
2500129839,,,,,Nicaragua
2500129934,,,,,Nicaragua
2501240001,,,,,Nicaragua
2501245092,,,,,Nicaragua
2505154019,,,,,Nicaragua
2505154027,,,,,Nicaragua
2505154053,,,,,Nicaragua
2507312720,,,,,Nicaragua
2507430312,,,,,Nicaragua
2507430313,,,,,Nicaragua
2513648927,,,,,Nicaragua
2515717575,,,,,Nicaragua
2517590278,,,,,Nicaragua
2518111727,,,,,Nicaragua
2519125183,,,,,Nicaragua
2526103030,,,,,Nicaragua
2526473111,,,,,Nicaragua
2526479755,,,,,Nicaragua
2529529717,,,,,Nicaragua
2539247357,,,,,Nicaragua
2539247386,,,,,Nicaragua
2539247388,,,,,Nicaragua
2539247394,,,,,Nicaragua
2539247398,,,,,Nicaragua
2539247443,,,,,Nicaragua
2539247444,,,,,Nicaragua
2539247447,,,,,Nicaragua
2539247454,,,,,Nicaragua
2539247459,,,,,Nicaragua
2539247461,,,,,Nicaragua
2542246082,,,,,Nicaragua
2543076327,,,,,Nicaragua
2546429221,,,,,Nicaragua
2554544226,,,,,Nicaragua
2559008781,,,,,Nicaragua
2559124531,,,,,Nicaragua
2559124667,,,,,Nicaragua
2560689709,,,,,Nicaragua
2560689733,,,,,Nicaragua
2560841402,,,,,Nicaragua
2560859511,,,,,Nicaragua
2560871511,,,,,Nicaragua
2560871567,,,,,Nicaragua
2560871664,,,,,Nicaragua
2560878029,,,,,Nicaragua
2562274072,,,,,Nicaragua
2562276104,,,,,Nicaragua
2563744543,,,,,Nicaragua
2563863012,,,,,Nicaragua
2563863014,,,,,Nicaragua
2563863020,,,,,Nicaragua
2563863021,,,,,Nicaragua
2567084047,,,,,Nicaragua
2567115079,,,,,Nicaragua
2573653027,,,,,Nicaragua
2573989218,,,,,Nicaragua
2576248744,,,,,Nicaragua
2576248754,,,,,Nicaragua
2576258221,,,,,Nicaragua
2578192789,,,,,Nicaragua
2579799347,,,,,Nicaragua
2581913755,,,,,Nicaragua
2581913759,,,,,Nicaragua
2583086770,,505,,,Nicaragua
2584112763,,,,,Nicaragua
2605452942,,,,,Nicaragua
2607379661,,,,,Nicaragua
2607379744,,,,,Nicaragua
2607379769,,,,,Nicaragua
2609916991,,,,,Nicaragua
2609917095,,,,,Nicaragua
2610439602,,,,,Nicaragua
2610439605,,,,,Nicaragua
2610439607,,,,,Nicaragua
2610439608,,,,,Nicaragua
2610439611,,,,,Nicaragua
2610439612,,,,,Nicaragua
2610439614,,,,,Nicaragua
2610439615,,,,,Nicaragua
2610439616,,,,,Nicaragua
2610439617,,,,,Nicaragua
2610439618,,,,,Nicaragua
2610439623,,,,,Nicaragua
2610439624,,,,,Nicaragua
2610439625,,,,,Nicaragua
2610439626,,,,,Nicaragua
2610439627,,,,,Nicaragua
2610439699,,,,,Nicaragua
2611202339,,,,,Nicaragua
2611771997,,,,,Nicaragua
2612971793,,,,,Nicaragua
2612971794,,,,,Nicaragua
2612971808,,,,,Nicaragua
2612971809,,,,,Nicaragua
2612971815,,,,,Nicaragua
2617570312,,,,,Nicaragua
2618003483,,,,,Nicaragua
2620563434,,,,,Nicaragua
2622496041,,,,,Nicaragua
2622496042,,,,,Nicaragua
2622559437,,,,,Nicaragua
2627443505,,,,,Nicaragua
2627443515,,,,,Nicaragua
2627443519,,,,,Nicaragua
2629885079,,,,,Nicaragua
2629885081,,,,,Nicaragua
2632967767,,,,,Nicaragua
2632967776,,,,,Nicaragua
2632967782,,,,,Nicaragua
2632988250,,,,,Nicaragua
2633057081,,,,,Nicaragua
2633157215,,,,,Nicaragua
2633165255,,,,,Nicaragua
2633166883,,,,,Nicaragua
2633184884,,,,,Nicaragua
2633240015,,,,,Nicaragua
2633288423,,,,,Nicaragua
2640204235,,,,,Nicaragua
2640204295,,,,,Nicaragua
2640204504,,,,,Nicaragua
